истрёпывать  притёсывать  
зало  зола  лоза  
залп  плаз  
зам  маз  
знамя  мазня  
замор  разом  
мурза  разум  
прознать  пронзать  
заснять  знаться  
запор  проза  
азот  зато  
азу  уза  
иракский  каирский  
критикан  ракитник  
каинит  кианит  
латинист  сталинит  
прилипать  припалить  
присалить  распилить  
антимония  антиномия  антонимия  
приминаться  приниматься  
приманить  приминать  принимать  
припарить  припирать  
прирасти  рапирист  
присчитать  причастить  
ламутский  мулатский  
латышский  талышский  
масонский  османский  
лиманный  малинный  
пищальный  щипальный  
ритуальный  утиральный  
минтай  наймит  
паутинный  упитанный  
каик  кика  
кишлак  шкалик  
иконка  кокаин  
краник  кринка  
кочкари  очкарик  
кисочка  косичка  
акустик  каустик  
кали  кила  
малик  милка  
морилка  рамолик  
лапотник  платоник  
ласточкин  ласточник  
опилка  поилка  
литаскоп  постилка  скаполит  
отпилка  пилотка  
лопатчик  плотичка  
пальтишко  платьишко  
капли  липка  пилка  
ластик  стилка  
силушка  сушилка  
литка  талик  
кутила  улитка  
амикрон  минорка  
марочник  рамочник  романчик  
маточник  намотчик  
пантокрин  патронник  
икона  инока  
капонир  опарник  
оспинка  синкопа  
накопить  поникать  
росинка  соринка  
косина  осинка  
останки  остинка  скотина  
аконит  катион  тоника  
купчина  паучник  
рантик  ратник  
инфаркт  франтик  
каршуни  крушина  
истукан  туниска  
ауксин  кусина  
актин  антик  нитка  
проскитаться  протискаться  
покрасить  проискать  прокисать  
покричать  почиркать  
пакостить  потискать  
ископать  поискать  
оптика  топика  
откипать  покатить  
открасить  сократить  
строфика  фиксатор  
акростих  хористка  
кипа  паки  пика  
пикап  пипка  
птичка  типчак  
искра  риска  
старик  стирка  
кричать  чиркать  
факир  фиакр  
рикша  шарик  
скатиться  скитаться  тискаться  
киста  такси  
исткать  скатить  тискать  
истфак  фактис  
считка  частик  чистка  
искать  сикать  
катить  тикать  титька  
шишак  шишка  
аил  али  
лиман  налим  
слонина  соланин  
плотина  полтина  
наслоить  насолить  станиоль  
лосятина  ослятина  
наутилус  сутулина  
лясничать  начислять  
фалинь  финаль  
пролистать  простилать  
полистать  постилать  
исполать  посалить  
лопатить  оплатить  отлипать  
отличаться  отчалиться  
лосиха  ослиха  
отличать  отчалить  
липа  пали  пила  
присылать  распылить  
прислать  псалтирь  
слипать  спалить  
лира  риал  
ритуал  уралит  
лиса  сила  
уластить  устилать  
альтист  листать  
сличать  счалить  
лишать  шалить  
фиал  фила  
амин  мина  
амнион  аноним  
проминать  пронимать  
поманить  поминать  понимать  
хиромант  хроматин  
отманить  отминать  отнимать  
сминаться  сниматься  
самнит  сантим  
уминаться  униматься  
сманить  сминать  снимать  
намутить  туманить  
намучить  умничать  
уманить  уминать  унимать  
умница  цунами  
мания  ямина  
ампир  прима  
рифма  фирма  
марши  ширма  
истмат  мастит  
пансион  сапонин  
порточина  проточина  
напроситься  наспориться  
наострить  настроить  
наохрить  охранить  
пани  пиан  
псина  синап  спина  
напустить  наступить  
напиться  пинаться  
напить  пинать  
натруситься  устраниться  
натрусить  устранить  
ратин  тиран  
руина  урина  
анис  сани  
наци  циан  
ниша  шина  
пропариться  пропираться  
пропарить  пропирать  
попарить  попирать  
прорастить  простирать  
постираться  растопиться  
порастить  постирать  растопить  
отпариться  отпираться  
паротит  патриот  
потрафить  пофартить  
портачить  прочитать  
отпарить  отпирать  потирать  
ошпарить  пошарить  
отщипать  потащить  
состариться  состираться  
состарить  состирать  
аорист  сирота  
отрастить  отстирать  
аортит  отиатр  
торица  троица  
отчасти  чистота  
припасть  приспать  
распуститься  расступиться  
спариться  спираться  
упариться  упираться  
распить  спарить  спирать  
испарять  париться  
пират  тапир  
упарить  упирать  
пастись  списать  
псица  спица  
пахит  пихта  
пищать  щипать  
расшутиться  устрашиться  
стариться  стираться  
расти  сатир  триас  
артист  триста  
растить  ристать  старить  стирать  
трафить  фартить  
рация  ярица  
усчитать  участить  
считать  частить  
истаять  таиться  
асцит  циста  
какой  койка  
такой  токай  
пластырный  псалтырный  
марочный  рамочный  
атомный  мотаный  
майор  мойра  
парной  рапной  
поташный  штопаный  
статочный  частотный  
ратный  тарный  
склока  сколка  
коляска  ясколка  
кукла  кулак  
кукан  кунак  
како  кока  
кокора  окорка  
капок  копка  
крутка  куртка  
каюк  юкка  
кал  лак  
поломка  помолка  
осмолка  соломка  
мослак  сломка  смолка  
лямка  мялка  
колчан  лончак  
каплун  плакун  
кулан  лунка  
копал  полка  
оскал  скало  солка  
лошак  школа  
плюшка  шлюпка  
капля  пакля  пялка  
краля  ракля  
манко  манок  
мокрота  моторка  
комар  корма  
кромсать  маркость  сморкать  
кормач  корчма  
армячок  кормчая  морячка  
мачок  мочка  
маячок  ямочка  
кошма  мокша  мошка  
мяукать  умякать  
кума  мука  
кумач  мучка  чумак  
камыш  мышка  
маяк  ямка  
копануть  понукать  
капюшон  понюшка  
коран  крона  норка  
кантор  картон  контра  
аксон  накос  носка  
стоянка  яснотка  
нотка  октан  
кочан  ночка  
курсант  струнка  
кант  танк  
кануть  нукать  
проточка  тропочка  
коротать  рокотать  
копа  опак  пока  
капор  копра  парок  порка  ропак  
опрыскать  порыскать  
покрасть  порскать  скропать  
прокат  тропка  
скопа  сопка  
отпускать  постукать  
пастушок  пустошка  
опускать  покусать  
пакость  скопать  
капот  покат  топка  
копуша  опушка  
копач  почка  
окрас  скора  
кастор  костра  строка  торакс  
стократ  тростка  
фактор  фортка  
корча  рачок  
сотка  тоска  
косач  сачок  часок  
кап  пак  
карп  крап  парк  
пускать  скупать  
пятак  пятка  тяпка  
купа  паук  
акр  рак  
ракурс  раскур  
кустарь  украсть  
крыса  рысак  
крат  трак  
кура  рука  
круча  ручка  чурка  
кафр  фрак  
кутаться  тукаться  
кутас  скаут  
акт  кат  так  
кутать  тукать  уткать  
акут  утка  
тушка  штука  шутка  
куща  щука  
масло  смола  
малость  сломать  
маляр  марля  
ламут  мулат  
луна  улан  
апостол  салотоп  
отхлопать  хлопотать  
опал  пола  
лопарь  пароль  
лопасть  послать  слопать  
опаляться  полаяться  
плато  толпа  
лапоть  лопать  пальто  поталь  
опалять  полаять  
сафлор  сафрол  
пластырь  псалтырь  
плюхаться  хлюпаться  
плясать  сляпать  
плюхать  хлюпать  
услать  усталь  
слать  сталь  
латыш  талыш  
альт  таль  
лаять  талья  
самум  сумма  
норма  роман  
монарх  номарх  
масон  осман  
морфа  форма  
марс  рамс  срам  
амур  муар  мура  
марш  шарм  шрам  
мат  там  
муфта  фатум  
мать  тьма  
мах  хам  
ан  на  
анонс  нанос  
нора  рано  
насос  сосна  
насухо  носуха  
пахнуть  хапнуть  
растянуться  устраняться  
растянуть  устранять  
натр  рант  
руна  уран  урна  
наст  стан  
хан  хна  
пороптать  протопать  
отоптать  оттопать  топотать  
пропасть  проспать  
попасть  поспать  
пастор  стропа  
апорт  тропа  
апрош  шпора  
отпутаться  утоптаться  
отпутать  утоптать  
опутать  утопать  
рота  тора  
соха  хаос  
парс  рапс  
спрятаться  стряпаться  
спрятать  стряпать  
пруша  шурпа  
прах  храп  
пряха  хряпа  
пас  сап  
пасс  спас  
спутать  ступать  
пасть  спать  
пшат  шпат  
пах  хап  
ручаться  чураться  
рысца  сырца  
раут  рута  тура  
фрау  фура  
фарш  шарф  
статья  стаять  
усач  чаус  
ату  аут  
туша  ушат  
чаять  ячать  
ау  уа  
ах  ха  
бейсбол  бобслей  
довыборный  рыбоводный  
обвертеть  обветреть  
обезьянство  светобоязнь  
беловой  болевой  
бортевой  ветробой  
обвес  обсев  
бирюзовый  изюбровый  
бинтовой  отбивной  
ботвинья  обвинять  
выбурить  вырубить  
блоковый  лобковый  
буковый  кубовый  
бромовый  ромбовый  
выборочный  обрывочный  
ботовый  бытовой  
выборность  обрывность  
выбор  обрыв  
голубеть  обуглеть  
обгореть  обогреть  
погреб  пробег  
брег  герб  
горбик  грибок  гробик  
биолог  облиго  
голубить  обуглить  
горбиться  гробиться  
огрубить  угробить  
горбить  гробить  
бриг  гриб  
бугрить  грубить  
горб  гроб  
ободрение  одобрение  
перебродить  передобрить  
бодренький  добренький  
ободрительный  одобрительный  
добелить  обделить  
дебри  дерби  
избродить  издробить  
блюдолиз  лизоблюд  
бродильный  дробильный  
побродить  подробить  
подсобить  сподобить  
ободрить  одобрить  
подрубить  пробудить  продубить  
сбродить  сдобрить  
бодриться  добриться  дробиться  
дорубить  обдурить  удобрить  
бодрить  бродить  добрить  дробить  
будить  дубить  
подборный  подробный  
бодрый  добрый  
бодрячок  добрячок  
бодряк  добряк  
подсоблять  сподоблять  
бордо  добор  добро  
ободрять  одобрять  
обдурять  удобрять  
бережок  жеребок  
перебросить  посеребрить  
белотелый  облетелый  
белеть  бетель  
безносый  безосный  
приболеть  пробелить  
облепить  побелить  
обелить  обитель  
бетонит  бонитет  
буерист  убрести  
бек  кеб  
беркут  курбет  
бельмо  бемоль  
белорус  лесоруб  
берцо  борец  
побожиться  пообжиться  
божиться  обжиться  
обнизок  обозник  
обозлиться  озлобиться  
обозлить  озлобить  
зыбиться  избыться  
зыбить  избыть  
бязь  зябь  
бинтик  битник  
бриония  робиния  
лобик  облик  
обколотиться  облокотиться  
обколотить  облокотить  
микроб  ромбик  
оскорбиться  скоробиться  
оскорбить  скоробить  
биток  ботик  
бурщик  рубщик  
бирюк  брюки  
било  либо  
сболтить  столбить  
бином  обмин  
боронить  обронить  
обостриться  обстроиться  
обострить  обстроить  отбросить  
пробурить  прорубить  
побриться  пробиться  
побрить  пробить  
обпить  побить  
бистро  сорбит  
отбурить  отрубить  
бурить  рубить  
булочный  лубочный  
отрубный  утробный  
клобук  клубок  
колоб  лобок  
боком  обком  
короб  оброк  
бук  куб  
облом  обмол  
мотобол  обмолот  
бром  ромб  
отбор  робот  
брус  сруб  
взводить  вздвоить  
куроводство  руководство  
вестовой  световой  
внове  вовне  
вывоз  вызов  
винновый  виновный  
волокитство  китоловство  
грызовой  розговый  
луговой  угловой  
говорной  горновой  
вогнутый  тунговый  
ворог  говор  
вреднейший  древнейший  
велосипедный  непоседливый  
переводить  передвоить  
ведренный  невредный  
военпред  невпроед  
недовес  недосев  
подвертеть  потвердеть  
довертеть  отвердеть  
дежурство  дружество  
директивный  кредитивный  
декстриновый  крестовидный  
деловитый  ледовитый  
двоечник  неводчик  
винодел  недолив  
повредить  провидеть  
водолей  деловой  долевой  
водомерный  модерновый  
ведомый  медовый  
подвесной  подсевной  
водополье  половодье  
девон  невод  
вредность  древность  
подвес  подсев  совдеп  
ведро  вроде  древо  
дворец  дровец  
вид  див  
видный  дивный  
крокодилов  кроликовод  
сводиться  сдвоиться  
сводить  сдвоить  
водиться  двоиться  довиться  
уводить  удвоить  
водить  двоить  довить  
вырядить  дырявить  
доковый  кодовый  
домовый  дымовой  
подворный  подрывной  
водосток  скотовод  
водоток  отводок  
вдох  вход  
выдох  выход  
повеление  полевение  
воспрещение  всепрощение  просвещение  
перевесить  перевисеть  
всепрощенец  просвещенец  
перевес  пересев  
стержневой  стрежневой  
воспретительный  просветительный  
вяление  явление  
просветитель  терпеливость  
оплешиветь  пошевелить  
реверси  ресивер  
ветрище  вретище  
внесметный  невместный  
неверный  ревенный  
верченый  черневый  
вечерком  времечко  
повелеть  полеветь  
велеть  леветь  
реверс  сервер  
верес  север  
вертеться  втереться  
ветер  ветре  
вертеть  ветреть  втереть  
вознести  известно  
везти  извет  
невроз  нервоз  
виляние  влияние  
иссверлить  свиристель  
творческий  чертовский  
свирельный  сервильный  
меловщик  молевщик  
вкоренить  кровенить  
верки  кивер  
лиловеть  ловитель  
словинец  сонливец  
осветлиться  сиятельство  
велосит  светило  
светимость  совместить  
претвориться  проветриться  
претворить  проветрить  
провеситься  провисеться  
воспретить  просветить  
провесить  провисеть  
повершить  провешить  
повестись  светопись  
повестить  посветить  
повесить  повисеть  посиветь  
осветиться  отвисеться  
осветить  отвесить  
виппер  припев  
привес  присев  
вестись  свесить  
весить  висеть  сиветь  
кровеносный  сокровенный  
крестовый  тресковый  
меловой  молевой  
полтевой  тепловой  
слоевой  солевой  соловей  
провесной  просевной  
отсевной  стеновой  
трефовый  фетровый  
вкоротке  коверкот  
вектор  корвет  
весомость  восемьсот  
время  ревмя  
вено  овен  
верность  ревность  
провес  просев  
поверять  провеять  
воспеть  повесть  псоветь  
вечор  чрево  
отвес  отсев  совет  
овеять  ятовье  
сверху  хевсур  
вес  все  сев  
вест  свет  
всеять  свеять  
изволить  изловить  
привозный  призывной  
возноситься  созвониться  
вонзиться  звониться  
вонзить  звонить  
возопить  повозить  
увязить  уязвить  
витязь  язвить  
воз  зов  
овчинник  чиновник  
приворотить  приотворить  
волокитный  китоловный  
луковичный  уклончивый  
слитковый  тоскливый  
искровой  рисковой  
китовый  тиковый  
пиловочный  поливочный  
ропотливый  торопливый  
плисовый  сопливый  
волчий  ловчий  
овчинный  чиновный  
истовый  ситовый  тисовый  
витой  войти  
клоповник  полковник  
колоквинт  толковник  
морковкин  морковник  
московит  мостовик  
вкинуть  кивнуть  
выкроиться  исковырять  
висок  сивко  совик  
виток  кивот  
выломиться  вымолиться  
выломить  вымолить  
прилов  пролив  
повилять  повлиять  повялить  
уволить  уловить  
вилять  влиять  вялить  
вино  воин  овин  
воронить  норовить  
нувориш  шуринов  
свинтус  свистун  
винт  твин  
своротиться  сотвориться  
своротить  сотворить  
воротиться  отвориться  
воротить  отворить  
выпросить  выспорить  
вопить  повить  
вострить  встроить  створить  
ворсить  сворить  
вторить  творить  
выпустить  выступить  
впустить  вступить  
котловый  лотковый  толковый  
покровный  покрывной  
кроновый  норковый  
костровый  ростковый  
стоковый  стыковой  
шкотовый  штыковой  
лотовый  толовый  тыловой  
выносной  основный  
проворный  прорывной  
воротный  отрывной  
постовой  стоповой  
ростовой  сортовой  
торсовый  тросовый  
остовый  сотовый  
войт  твой  
туфовый  футовый  
воск  сков  
всяко  свояк  
вылом  вымол  
волосность  слоновость  
вол  лов  
волос  слово  
поровнять  провонять  
ворон  норов  ровно  
вынос  сынов  
вонь  новь  
востро  остров  сворот  
выпор  порыв  
вор  ров  
логопедический  педологический  
логопедия  педология  
логопед  педолог  
дергун  недруг  
подгореть  подогреть  
грядиль  дрягиль  
голод  долго  
год  дог  
геометрический  геотермический  
геометрия  геотермия  
гноение  гонение  
лонгшез  шезлонг  
нефрология  френология  
гноище  огнище  
отгореть  отогреть  
горесть  сгореть  согреть  
гореть  огреть  
гостиный  огнистый  
голик  логик  
комингс  смокинг  
лисогон  синолог  
спонгит  стопинг  
пригнуться  присягнуть  
гнусить  сгинуть  
испуг  пигус  
гусит  густи  
огульный  угольный  
гой  йог  
глянуть  лягнуть  
гол  лог  
голос  логос  
гул  луг  
гомон  много  
гром  морг  
погнуться  посягнуть  
грот  торг  
гост  стог  
демотический  методический  
сердечкин  сердечник  
опередить  передоить  
перепрудить  перепудрить  
дотерпеть  подтереть  
допереть  поредеть  
подрезной  проездной  
зудень  уздень  
подрез  проезд  
директорский  кредиторский  
директор  кредитор  
подмелить  помедлить  
мелодист  моделист  
подноситель  посолиднеть  
доноситель  недосолить  
подселить  последить  
долепить  поделить  
посердить  просидеть  
редис  среди  
доменный  немодный  
мудреный  немудрый  
дек  кед  
комендор  недокорм  
декор  докер  кредо  
дрек  кедр  
дупель  пудель  
демон  домен  
донец  донце  
днесь  снедь  
едун  неуд  
допреть  продеть  
досеять  одеться  содеять  
дерть  рдеть  
десять  деться  
доложиться  одолжиться  
доложить  одолжить  
плодник  полдник  
донкихот  отходник  
подусник  посудник  
родник  рондик  
диктор  дротик  кордит  
диск  скид  
доломить  молодить  
подслоить  подсолить  
досолить  солодить  
плодиться  подлиться  
плодить  подлить  
допроситься  доспориться  
подострить  подстроить  
допросить  доспорить  подсорить  
допоить  подоить  
подпустить  подступить  
подтрусить  простудить  
допустить  подустить  постудить  
подучиться  почудиться  
подучить  почудить  
родить  триодь  
остудить  отсудить  
прудить  пудрить  
дойный  йодный  
рдяный  рядный  
домок  комод  
кондор  кордон  
док  код  
подкур  прудок  
дрок  корд  
скудо  судок  
кряду  рудяк  
досол  солод  
долу  дуло  одул  
для  ляд  
дно  дон  
донор  рондо  
родня  рядно  
до  од  
доступ  подуст  
одр  род  
дояр  ядро  
уход  худо  
ряд  ярд  
термоэлектрический  электрометрический  электротермический  
нечестие  стечение  
лужение  неужели  
стержень  стрежень  
метрический  термический  
лесопромышленник  солепромышленник  
электрометрия  электротермия  
слоение  соление  
неприятель  перелинять  
переслоить  пересолить  
лесище  селище  
утончение  уточнение  
опрощение  поощрение  
поручение  упрочение  
терние  трение  
перепросить  переспорить  
перепустить  переступить  
репетир  репитер  
лесопромышленный  солепромышленный  
леечный  леченый  
перечный  перченый  
лепесток  телескоп  
нещечко  щеночек  
перфект  префект  
лесопромышленность  солепромышленность  
перелом  перемол  
ремесло  солемер  
мелеть  метель  
отопленец  полотенце  
плесень  слепень  
оттепель  полететь  
лепет  петел  
леер  реле  
неметь  темень  
сеянец  ясенец  
отпереться  перестоять  потереться  
отпереть  потереть  
опереть  отрепье  
переступь  преуспеть  
пестреться  стерпеться  
пестреть  стерпеть  
рецепт  трепец  
переть  теперь  
тереть  третье  
еж  же  
пожениться  понежиться  
поженить  понежить  
жениться  нежиться  
женить  нежить  
измерить  ремизить  
мизерный  незримый  ремизный  
мизер  ремиз  
креозот  отрезок  
полезно  полонез  
злеть  лезть  
земно  мезон  
зерно  резон  
оптический  топический  
сличительный  числительный  
перистиль  приселить  
кисельный  лысенький  
петличный  тепличный  
колесник  лексикон  
крикет  тиккер  
полесник  поликсен  
клиент  летник  
ленчик  членик  
ельник  никель  
куролесить  ускоритель  
реликт  терлик  
стеклить  текстиль  
китель  клеить  
клише  лишек  
клещи  лещик  
ментик  темник  
мечник  немчик  
пироксен  соперник  
искоренять  корениться  
нетчик  четник  
костерить  окрестить  
кепи  пике  
персик  серпик  спикер  
скрепить  скрипеть  
пестик  септик  
крести  рексит  
мелить  милеть  
приотлечь  пролечить  
ослепиться  поселиться  
оплести  политес  
отплести  пистолет  
летопись  ослепить  поселить  
отеплить  отлепить  
петлить  теплить  
плутище  путлище  
литер  релит  
улестить  устелить  
истлеть  стелить  
исцелять  целиться  
нипочем  чемпион  
спирометр  спиртомер  
пирометр  реимпорт  
перистом  промести  
оптиметр  типометр  
мистер  стимер  
метрит  термит  
мести  метис  семит  
пронести  спиртное  
понестись  стенопись  
энтерит  этернит  
нети  теин  
перчить  притечь  
ершиться  решиться  
херить  хиреть  
ершить  решить  
шериф  шифер  
истец  ситец  ситце  
конечный  конченый  
корсетный  окрестный  секторный  стокерный  
кошерный  крошеный  
монетный  отменный  
местный  сметный  
неопрятный  потерянный  
сонетный  сотенный  
пещной  щепной  
отсечный  сеточный  стоечный  
сетный  тесный  
мелок  млеко  
пролесок  прослоек  
колесо  оселок  
колотье  околеть  
колер  креол  
колет  леток  телок  
плеск  склеп  
кельт  клеть  
клещ  щелк  
компостер  термоскоп  
покрупнеть  попрекнуть  
стрекотня  трескотня  
корнет  кретон  ректон  
сукнецо  суконце  
крепнуть  крупнеть  
керн  крен  
стрекун  трескун  
прекос  просек  
корсет  окрест  сектор  стокер  
крест  треск  
шкерт  штрек  
кучер  чурек  
секс  ссек  
полусмерть  пульсометр  
летом  метол  омлет  
мотель  отмель  
оплеснуть  ослепнуть  
плеснуть  слепнуть  
ленч  член  
пострел  престол  
постель  топсель  
сельпо  сопель  
оплечь  полечь  
лето  тело  
лечо  чело  
флешь  шельф  
ель  лье  
ментор  ремонт  
метнуть  мутнеть  
метоп  помет  
мотет  тотем  
меря  ярем  
месть  сметь  
меч  чем  
неопрятность  потерянность  
опреснять  прояснеть  
сонет  тесно  
турне  унтер  
неф  фен  
попреть  пропеть  
портер  претор  репорт  
проесть  сопреть  
оперять  отрепья  
потеря  пятеро  
поесть  потесь  сопеть  
отупеть  употеть  
отпеть  потеть  
отпечь  потечь  
отец  оцет  
перс  репс  серп  
перш  шерп  
спеть  степь  
спец  сцеп  
путец  тупец  
ер  ре  
терять  третья  
руте  туер  
треф  ферт  фетр  
уесть  устье  
стечь  честь  
есть  сеть  
течь  четь  
кожимит  отжимки  
жирок  рожки  
сжулить  служить  
жиропот  жиротоп  
острожить  сторожить  
сутяжить  тужиться  
отпряжной  протяжной  
хризолит  хризотил  
изнурить  изринуть  
козни  низок  
книзу  узник  
измолоть  мозолить  
золотить  отзолить  
золить  озлить  
позор  пороз  
иттрий  тритий  
носилки  силикон  
нишкни  шинник  
истопник  синоптик  
киприот  тропики  
очистки  тисочки  
ситчик  чистик  
ипсилон  исполин  
исчислять  числиться  
сличить  числить  
монотипия  топонимия  
приносить  просинить  
источиться  очиститься  
источить  очистить  
припуститься  приступиться  
припустить  приступить  
иприт  пирит  
кисломолочный  молочнокислый  
клопиный  пониклый  
корнистый  кронистый  
кюрий  юркий  
испольный  посильный  
слиточный  столичный  
лосиный  ослиный  
сульфитный  фистульный  
очистный  тисочный  
принятый  приятный  
рысий  сирый  
кукушкин  кукушник  
нисколько  сокольник  
клико  оклик  
клотик  отклик  
кроки  окрик  
кил  лик  
ломик  милок  
котильон  ниотколь  
склонить  стольник  
лосятник  ослятник  
кило  коли  
исколоться  колоситься  
орлик  ролик  
кролист  ликтрос  
клитор  ликтор  
ослик  силок  
листок  слиток  столик  
колит  толки  
кулич  лучик  чулки  
москит  мостик  мостки  
кишмя  мякиш  
инок  кино  
риноскоп  скорпион  
пикон  пинок  
носик  носки  оникс  
косинус  соусник  
сотник  токсин  
носчик  сочник  
пискун  супник  
крин  ринк  
киснуть  скинуть  
икнуться  кинуться  
икнуть  кинуть  
окропиться  покориться  
окропить  покорить  покроить  
оскопить  покосить  
покрутиться  прокутиться  
портик  портки  приток  тропик  
покрутить  прокутить  
откупить  покутить  
окрутиться  укротиться  
ротик  трико  
окрутить  укротить  
окурить  укорить  
корить  кроить  
корчи  чирок  
исток  стоик  
прикус  прусик  
куприт  прутик  трупик  
писк  скип  
пшик  шпик  
крушить  шкурить  
икс  иск  
иктус  сутки  
скиф  фикс  фиск  
кит  тик  
ил  ли  
примолоть  проломить  
отломиться  отмолиться  
молотить  отломить  отмолить  
милость  сломить  смолить  
ломиться  молиться  
ультимо  умолить  
ломить  молить  
мыслить  смылить  
исполнять  полниться  
отлипнуть  уплотнить  
прослоиться  просолиться  
прослоить  просолить  
опошлиться  полошиться  
опошлить  полошить  
полис  сопли  
сплотиться  столпиться  
сплотить  столпить  
пистоль  сплоить  
плоить  полить  
лихость  хилость  
слоить  солить  
охулить  ухолить  
плис  слип  спил  
ляпсить  спялить  
слить  стиль  
монотип  топоним  
минор  мирон  
импорт  притом  
трихом  хромит  
приумяться  упрямиться  
примять  прямить  
мирт  ритм  
ин  ни  
нониус  унисон  
ион  они  
пион  пони  
принос  присно  
пистон  стопин  
осипнуть  супонить  
утончиться  уточниться  
утончить  уточнить  
писун  супин  
попортиться  протопиться  
попросить  поспорить  
попортить  протопить  
опроститься  отпроситься  построиться  стопориться  
опростить  отпросить  поострить  построить  стопорить  
испороть  опросить  оспорить  
потрошить  штопорить  
отопить  отпоить  
пропустить  проступить  
попустить  поступить  
потрястись  проститься  
проситься  спориться  
потрусить  упростить  
поручиться  проучиться  упрочиться  
просить  спорить  
портить  тропить  
поручить  проучить  упрочить  
прошить  шпорить  
опуститься  оступиться  
поститься  стопиться  
отпустить  отступить  
отпиться  топиться  
опиться  посиять  
потушить  пошутить  
отупить  утопить  
отпить  топить  
опить  поить  
отрястись  строиться  
росчисть  состричь  
сирость  ссорить  
ситро  сорит  
отстричь  строчить  
острить  строить  
росить  сорить  сроить  
тори  трио  
ортит  торит  
уторить  утроить  
торить  троить  
отучиться  очутиться  уточиться  
отучить  уточить  
пир  при  
упустить  уступить  
пустить  ступить  
струиться  труситься  утрястись  
струить  трусить  
тир  три  
риф  фри  
тушить  шутить  
тишь  шить  
мокротный  откормный  
конусный  суконный  
костный  скотный  
полуротный  полуторный  
моточный  отмочный  
мучной  чумной  
нотный  тонный  
порточный  проточный  
ропотный  топорный  
порочный  чопорный  
поточный  топочный  
понурый  упорный  
постный  стопный  
росный  сорный  
ротный  торный  
тысячный  ястычный  
йот  той  
колосок  осколок  соколок  
комок  мокко  
окорок  рококо  
кокос  косок  
скосок  соскок  
кокс  скок  
колон  локон  
колтун  толкун  
клоун  колун  кулон  лукно  уклон  
полоток  потолок  
колос  сокол  
сколоть  столько  
лоток  откол  
колоть  локоть  отколь  только  
кольцо  цоколь  
клоп  полк  
поклясться  скопляться  
лоск  скол  
лучок  чулок  
купля  пукля  
отмокнуть  отомкнуть  
смокнуть  сомкнуть  
мяукнуть  умякнуть  
морок  окорм  
моток  токмо  
космы  мысок  
кон  нок  
косность  носкость  
копун  купно  купон  
корн  крон  
контур  котурн  
коршун  шнурок  
нырок  рынок  
конус  сукно  
стукнуть  тускнуть  
тукнуться  уткнуться  
кутнуть  тукнуть  уткнуть  
прокос  спорок  
скоро  сорок  
отрок  рокот  роток  
корпус  прокус  
корысть  сокрыть  
корт  крот  трок  
рукоять  укорять  
укор  урок  
скот  сток  
остяк  стояк  
кот  кто  ток  
кошт  шкот  шток  
кош  шок  
пуск  скуп  
трюк  тюрк  
куст  стук  
кус  сук  
кут  тук  
лом  мол  
полом  помол  
мосол  осмол  
ломоть  молоть  
ополоснуть  полосонуть  
полно  полон  
лопотун  полутон  
плюхнуться  хлюпнуться  
плюхнуть  хлюпнуть  
лунь  нуль  
ослоп  посол  сопло  
полость  сполоть  
полоть  тополь  
плохо  холоп  
плоть  полть  
лопух  похул  
опля  пяло  
лось  соль  
лот  тол  
плюх  хлюп  
плюш  шлюп  
ля  ял  
мо  ом  
оптом  потом  
мор  ром  
тумор  утром  
мот  том  
му  ум  
но  он  
порочность  чопорность  
понурость  упорность  
опостынуть  поостынуть  
отпрянуть  протянуть  
орун  руно  урон  
нос  сон  
соня  ясно  
пустынь  сыпнуть  
стряхнуться  хрястнуться  
струхнуть  хрустнуть  
стряхнуть  хрястнуть  
сунуть  уснуть  
уняться  уяснять  
нут  тун  унт  
опороть  оторопь  
пророст  простор  
опрос  порос  просо  сопор  
просто  стопор  
отпор  порто  ропот  топор  
опостыть  поостыть  
оп  по  
спорт  строп  
порт  троп  
пост  стоп  
опт  пот  топ  
рост  сорт  торс  трос  
орт  рот  тор  
торт  трот  
утор  утро  
торф  форт  фтор  
ост  сот  сто  
от  то  
спрут  спурт  струп  
прут  тпру  труп  
руст  трус  
срыть  сырть  
рысь  сырь  
су  ус  
туф  фут  
туш  шут  
уф  фу  
